external_track_id,title,artist,album,language,year,decade,tempo,rms_mean,spectral_centroid_mean,seed_query
13bQVh6n,Dekha Ek Khwab - II,"Lata Mangeshkar, Kishore Kumar",Silsila,hindi,1981.0,1980s,135.999,0.0539,1689.774,Kishore Kumar
4sB5_PwZ,"Kehdoon Tumhen (From ""Deewaar"")","Kishore Kumar, Asha Bhosle, R.D. Burman",Best of Salim-Javed,hindi,2026.0,2020s,135.999,0.234627,2046.952,Kishore Kumar
xz8K0VQ-,"Kehdoon Tumhen (From ""Deewaar"")","Kishore Kumar, Asha Bhosle, R.D. Burman",Deewaar,hindi,2009.0,2000s,135.999,0.230216,2044.448,Kishore Kumar
PNHIkJPr,Dil To Pagal Hai,"Uttam Singh, Lata Mangeshkar, Udit Narayan, Anand Bakshi",Dil To Pagal Hai,hindi,1997.0,1990s,112.347,0.060023,2178.243,Lata Mangeshkar
CPg5xoka,Lag Ja Gale Se Phir,Lata Mangeshkar,Woh Kaun Thi,hindi,1964.0,pre-1970s,129.199,0.051802,1324.168,Lata Mangeshkar
Hxl3Wug3,Andekhi Anjaani,"Rahul Sharma, Udit Narayan, Lata Mangeshkar, Anand Bakshi",Mujhse Dosti Karoge!,hindi,2002.0,2000s,99.384,0.109301,1881.168,Lata Mangeshkar
XG7gPTCq,Itna Na Mujhse Tu Pyar Badha,"Talat Mahmood, Lata Mangeshkar",Chhaya,hindi,1937.0,pre-1970s,143.555,0.068888,1478.578,Lata Mangeshkar
Drb6UvkS,Gum Hai Kisi Ke Pyar Mein,"Kishore Kumar, Lata Mangeshkar",Golden Collection Lata Mangeshkar And Kishore Kumar,hindi,1999.0,1990s,117.454,0.071935,1007.207,Lata Mangeshkar
_083JRHa,Bheegi Bheegi Raaton Mein,"Lata Mangeshkar, Kishore Kumar",Ajanabee,hindi,1974.0,1970s,95.703,0.08451,1278.116,Lata Mangeshkar
pt8FTKZX,"Kya Yahi Pyar Hai (From ""Rocky"")","Lata Mangeshkar, Kishore Kumar, R.D. Burman",Rocky,hindi,2008.0,2000s,103.359,0.071917,2486.213,Lata Mangeshkar
N0_l_eGj,"Kya Yahi Pyar Hai (From ""Rocky"")","Lata Mangeshkar, Kishore Kumar, R.D. Burman",Rocky (Original Motion Picture Soundtrack / Remastered),hindi,2026.0,2020s,103.359,0.07815,2321.211,Lata Mangeshkar
erUf6A8D,"Kya Yahi Pyar Hai (From ""Rocky"")","Lata Mangeshkar, Kishore Kumar, R.D. Burman",Best of Kishore Da,hindi,2026.0,2020s,103.359,0.126747,2324.346,Lata Mangeshkar
JLGhq6Do,Chura Liya Hai Tumne Jo Dil Ko,"R.D. Burman, Asha Bhosle, Mohammed Rafi",Yaadon Ki Baaraat,hindi,1973.0,1970s,103.359,0.083731,2221.505,Mohammed Rafi
7l0NgsNo,Kya Hua Tera Vada,"Sushma Shrestha, Mohammed Rafi",Hum Kisise Kum Naheen,hindi,1977.0,1970s,129.199,0.160183,2361.13,Mohammed Rafi
a5d4-kXE,Abhi Na Jao Chhod Kar,"Asha Bhosle, Mohammed Rafi",Hum Dono,hindi,1961.0,pre-1970s,184.57,0.043687,1330.635,Mohammed Rafi
_15TygLd,Ye Dil Tum Bin Lagta Nahin,"Lata Mangeshkar, Mohammed Rafi",LP Classics - Original LP Recordings Vol. 5,hindi,2022.0,2020s,135.999,0.069864,2838.608,Mohammed Rafi
CO8ap6UM,"Likhe Jo Khat Tujhe (From ""Kanyadaan"")","Mohammed Rafi, Shankar-Jaikishan",TOY - Thinking Of You,hindi,2016.0,2010s,117.454,0.060075,1613.166,Mohammed Rafi
okYzDpZO,Likhe Jo Khat Tujhe,Mohammed Rafi,Kanyadaan,hindi,1968.0,pre-1970s,117.454,0.060109,1611.61,Mohammed Rafi
fEhsei2Z,"Gulabi Ankhen (From ""The Train"")","Mohammed Rafi, R.D. Burman",The Train,hindi,2008.0,2000s,107.666,0.188568,2091.036,Mohammed Rafi
YAuN9YMU,O Mere Sona Re Sona,"Asha Bhosle, Mohammed Rafi",Teesri Manzil,hindi,1966.0,pre-1970s,107.666,0.171784,1601.645,Mohammed Rafi
7Ts4ZWty,"Salamat Rahe Dostana Hamara (Part I) (From ""Dostana"")","Mohammed Rafi, Kishore Kumar",Dostana (Original Motion Picture Soundtrack / Remastered),hindi,2026.0,2020s,161.499,0.157988,2277.932,Mohammed Rafi
xoHjUEvx,"Salamat Rahe Dostana Hamara (Part I) (From ""Dostana"")","Mohammed Rafi, Kishore Kumar",Dostana,hindi,2009.0,2000s,161.499,0.171317,2246.065,Mohammed Rafi
8dm2y2Oq,Ek Pyar Ka Naghma Hai,"Lata Mangeshkar, Mukesh, Laxmikant - Pyarelal",Shor,hindi,1972.0,1970s,161.499,0.055804,1399.087,Mukesh
Eoay4KB1,Kya Khoob Lagti Ho,"Mukesh, Kanchan",Dharmatma,hindi,1975.0,1970s,129.199,0.140004,2105.88,Mukesh
Ghdas_pn,Kahin Door Jab Din Dhal Jaye,Mukesh,Anand,hindi,1971.0,1970s,86.133,0.118306,2317.386,Mukesh
qBUmvJTG,Main Pal Do Pal Ka Shair Hoon,Mukesh,Kabhi Kabhie,hindi,1976.0,1970s,129.199,0.081824,2176.336,Mukesh
q4U35Bfx,Kabhi Kabhi Mere Dil Mein (Duet),"Mukesh, Lata Mangeshkar",Kabhi Kabhie,hindi,1976.0,1970s,103.359,0.084888,1598.887,Mukesh
78qcDN-T,Chand Si Mehbooba Ho Meri,Mukesh,Himalay Ki God Mein,hindi,1965.0,pre-1970s,184.57,0.064635,1559.615,Mukesh
ua4MYOnf,Mehboob Mere Mehboob Mere,"Lata Mangeshkar, Mukesh",Patthar Ke Sanam,hindi,1967.0,pre-1970s,172.266,0.213186,1317.66,Mukesh
e5FtmS0R,Kisi Ki Muskurahaton Se,Shankar-Jaikishan,Anari,hindi,1975.0,1970s,135.999,0.065088,2097.765,Mukesh
FMxFn0EB,"Kisi Ki Muskurahaton Se (From ""Anari"")","Mukesh, Shankar-Jaikishan",Live,hindi,2016.0,2010s,135.999,0.065113,2097.836,Mukesh
yBkFAEw4,"Humko Tumse Ho Gaya Hai Pyar (From ""Amar Akbar Anthony"")","Kishore Kumar, Mohammed Rafi, Mukesh, Lata Mangeshkar",Amar Akbar Anthony,hindi,2009.0,2000s,184.57,0.148213,2275.217,Mukesh
N6U2W3xs,"Run Down The City - Monica (From ""Dhurandhar"")","Reble, Majrooh Sultanpuri, Shashwat Sachdev, Asha Bhosle, R.D. Burman","Run Down The City - Monica (From ""Dhurandhar"")",hindi,2025.0,2020s,135.999,0.338554,2192.645,Asha Bhosle
3dRWYsos,Run Down The City - Monica,"Reble, Majrooh Sultanpuri, Shashwat Sachdev, Asha Bhosle, R.D. Burman",Dhurandhar,hindi,2025.0,2020s,135.999,0.338554,2192.645,Asha Bhosle
X8Sw0ThZ,"Kehdoon Tumhen (From ""Deewaar"")","Kishore Kumar, Asha Bhosle, R.D. Burman",Best of Kishore Da,hindi,2026.0,2020s,135.999,0.234627,2046.952,Asha Bhosle
es0lE00r,Tumhari Nazron Mein Humne Dekha,"Nadeem-Shravan, Asha Bhosle, Kumar Sanu",Kal Ki Awaz,hindi,1992.0,1990s,57.422,0.067632,2598.873,Asha Bhosle
kX3PCPjX,Dil Mein Chhupa Loonga,"Meet Bros, Tulsi Kumar",Wajah Tum Ho,hindi,2016.0,2010s,161.499,0.202938,1608.717,R.D. Burman
C1Ll-EhU,"Soniyo (From ""RAAZ - The Mystery Continues"")","Raju Singh, Sonu Nigam, Shreya Ghoshal","I love you, 2",hindi,2011.0,2010s,80.75,0.128647,2436.971,Sonu Nigam
DIJljfXw,"Soniyo (From ""RAAZ - The Mystery Continues"")","Raju Singh, Sonu Nigam, Shreya Ghoshal",Perfect 10: Love Story,hindi,2014.0,2010s,80.75,0.127492,2452.158,Sonu Nigam
pkPP2DLn,Soniyo,"Raju Singh, Sonu Nigam, Shreya Ghoshal",RAAZ - The Mystery Continues,hindi,2008.0,2000s,80.75,0.129304,2462.485,Sonu Nigam
0ADFALmR,Soniyo,"Raju Singh, Sonu Nigam, Shreya Ghoshal",A Decade of Love,hindi,2010.0,2010s,80.75,0.127788,2456.922,Sonu Nigam
XF_fDU7l,Chori Kiya Re Jiya,"Sonu Nigam, Shreya Ghoshal",Dabangg,hindi,2010.0,2010s,89.103,0.149587,2501.9,Sonu Nigam
tK8LDnu-,Aisa Deewana,"Sonu Nigam, Alka Yagnik",Dil Maange More,hindi,2004.0,2000s,95.703,0.106313,2560.103,Sonu Nigam
KbqCvOn0,"Main Agar Kahoon (From ""Om Shanti Om"")","Sonu Nigam, Shreya Ghoshal",Shah Rukh Khan Romance & Rhythm,hindi,2025.0,2020s,143.555,0.086949,2254.382,Sonu Nigam
keGNxOoV,Main Agar Kahoon,"Vishal & Shekhar, Sonu Nigam, Shreya Ghoshal",Om Shanti Om,hindi,2007.0,2000s,143.555,0.086949,2254.382,Sonu Nigam
OSufxv6I,"Pardesiya (From ""Param Sundari"")","Sonu Nigam, Krishnakali Saha, Amitabh Bhattacharya, Sachin-Jigar",Param Sundari,hindi,2025.0,2020s,135.999,0.148635,1900.181,Sonu Nigam
oDsGgZrs,"Pardesiya (From ""Param Sundari"")","Sonu Nigam, Krishnakali Saha, Amitabh Bhattacharya, Sachin-Jigar","Danger (From ""Param Sundari"")",hindi,2025.0,2020s,135.999,0.148635,1900.181,Sonu Nigam
PTNX7k-6,Vaaroon Forever (From “Mirzapur The Movie”),"Anand Bhaskar, Romy, Shreya Ghoshal, Ginny Diwan",Vaaroon Forever (From “Mirzapur The Movie”),hindi,2026.0,2020s,151.999,0.139514,2541.903,Shreya Ghoshal
B6d7Dnf9,KALYANI (Remix),"ARJN, KDS, FIFTY4, Shreya Ghoshal",KALYANI (Remix),malayalam,2026.0,2020s,99.384,0.130461,1445.76,Shreya Ghoshal
DMoLdwJ7,Samjhawan,"Jawad Ahmad, Sharib Toshi, Arijit Singh, Shreya Ghoshal",Humpty Sharma Ki Dulhania,hindi,2014.0,2010s,107.666,0.042608,2581.582,Shreya Ghoshal
lm2hdWh5,Tumhare Liye,"Shreya Ghoshal, Wasif Ahmad, Sachin Urmtosh",Awarapan 2,hindi,2026.0,2020s,129.199,0.189566,1318.584,Shreya Ghoshal
-Y4hNkFa,"Tum Kya Mile - Pritam' s Version (From ""Rocky Aur Rani Kii Prem Kahaani"")","Amitabh Bhattacharya, Pritam, Arijit Singh, Shreya Ghoshal",Rocky Aur Rani Kii Prem Kahaani,hindi,2023.0,2020s,89.103,0.156685,1443.384,Shreya Ghoshal
HmNc7vXn,Teri Yaadon Mein,"KK, Shreya Ghoshal",The Killer,hindi,2006.0,2000s,103.359,0.118556,1891.282,Shreya Ghoshal
B2GqEs2g,Saiyaara Reprise - Female,"Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Shreya Ghoshal, Irshad Kamil",Saiyaara,hindi,2025.0,2020s,172.266,0.165248,1185.897,Shreya Ghoshal
cOTfVYmU,"Saiyaara Reprise - Female (From ""Saiyaara"")","Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Shreya Ghoshal, Irshad Kamil","Pyaar, Forever and Ever",hindi,2026.0,2020s,112.347,0.165729,1185.33,Shreya Ghoshal
UDR8ZxTv,"Labon Ko (From ""Bhool Bhulaiyaa"")","KK, Pritam, Sayeed Quadri",Romantic Hits Of K.K.,hindi,2025.0,2020s,107.666,0.186823,1602.383,KK
wja-5ysb,Labon Ko,"Pritam, KK",Bhool Bhulaiyaa,hindi,2007.0,2000s,107.666,0.186823,1602.383,KK
tEu-1E8r,Haan Tu Hain,"Pritam, KK, Sayeed Quadri",Jannat,hindi,2008.0,2000s,83.354,0.12877,1703.961,KK
R-bgOj0p,Haan Tu Hain,"Pritam, KK, Sayeed Quadri",A Decade of Love,hindi,2010.0,2010s,83.354,0.120145,1664.283,KK
9Sw3vfBz,Zara Sa,"Sayeed Quadri, Pritam, KK",A Decade of Love,hindi,2010.0,2010s,161.499,0.187203,2106.887,KK
s_bZsb1r,"Zara Sa (From ""Jannat"")","Sayeed Quadri, Pritam, KK",Perfect 10: Love Story,hindi,2014.0,2010s,161.499,0.153358,2035.509,KK
VQp1eXug,Zara Sa,"Sayeed Quadri, Pritam, KK",Jannat,hindi,2008.0,2000s,161.499,0.187944,2092.671,KK
kDO3uk2j,"Zara Sa (From ""Jannat"")","Pritam, KK, Sayeed Quadri","I love you, 2",hindi,2011.0,2010s,161.499,0.187944,2092.671,KK
z886W_aG,"Dil Ibaadat (From ""Tum Mile"")","Sayeed Quadri, Pritam, KK",Perfect 10: Love Story,hindi,2014.0,2010s,151.999,0.137031,1862.957,KK
no4U0SP0,Dil Ibaadat,"Pritam, KK, Sayeed Quadri",Tum Mile,hindi,2009.0,2000s,151.999,0.136328,1855.683,KK
FuATX2sL,"Chikiri Chikiri (From ""Peddi"") - Telugu","A.R. Rahman, Mohit Chauhan, Balaji","Chikiri Chikiri (From ""Peddi"") - Telugu",telugu,2025.0,2020s,117.454,0.145158,1875.289,Mohit Chauhan
oemj5iht,"Chikiri Chikiri (From ""Peddi"")","Mohit Chauhan, A.R. Rahman, Balaji",A.R. Rahman Tollywood Superhits,telugu,2026.0,2020s,117.454,0.145158,1875.289,Mohit Chauhan
Mgxz1bjy,"Chikiri Chikiri (From ""Peddi"")","Mohit Chauhan, A.R. Rahman, Balaji",Global Star  - Ram Charan Superhit Song Collection,telugu,2026.0,2020s,117.454,0.145158,1875.289,Mohit Chauhan
at_TozfN,"Chikiri Chikiri (From ""Peddi"")","Balaji, A.R. Rahman, Mohit Chauhan",World Music Day - Top 10 Telugu Superhits,telugu,2026.0,2020s,117.454,0.145158,1875.289,Mohit Chauhan
TBUTIsY-,Chikiri Chikiri,"Balaji, A.R. Rahman, Mohit Chauhan",Peddi - Telugu,telugu,2026.0,2020s,117.454,0.145158,1875.289,Mohit Chauhan
NmXwIEDt,"Chikiri Chikiri (From ""Peddi"")","Mohit Chauhan, A.R. Rahman, Balaji",Prema Kavithalu - 2026 Valentines Day Special,telugu,2026.0,2020s,117.454,0.145158,1875.289,Mohit Chauhan
zIPKC8PK,Tum Se Hi,"Pritam, Mohit Chauhan",Jab We Met,hindi,2007.0,2000s,129.199,0.112167,1923.006,Mohit Chauhan
6ltaX2li,Rang Lageya,"Mohit Chauhan, Rochak Kohli",Rang Lageya,hindi,2021.0,2020s,107.666,0.099844,1638.113,Mohit Chauhan
7gAvqCYP,"Bheegi Si Bhaagi Si (From ""Raajneeti"")","Pritam, Mohit Chauhan, Antara Mitra",Love,hindi,2014.0,2010s,89.103,0.135273,2012.396,Mohit Chauhan
MElzftLj,Bheegi Si Bhaagi Si,"Pritam, Mohit Chauhan, Antara Mitra",Raajneeti,hindi,2010.0,2010s,89.103,0.135273,2012.396,Mohit Chauhan
yZxYu9ei,"Darkhaast (From ""Shivaay"")","Sayeed Quadri, Mithoon, Sunidhi Chauhan, Arijit Singh",World Music Day - Best Of Bollywood Hits,hindi,2026.0,2020s,112.347,0.118264,1122.364,Sunidhi Chauhan
CdncOYcw,Darkhaast,"Mithoon, Arijit Singh, Sunidhi Chauhan",Shivaay,hindi,2016.0,2010s,112.347,0.11852,1217.357,Sunidhi Chauhan
uyQCSPUs,Tujhko (From “Cocktail 2”),"Arijit Singh, Sunidhi Chauhan, Amitabh Bhattacharya, Pritam",Jag Se Laaj (From “Cocktail 2”),hindi,2026.0,2020s,73.828,0.139372,931.526,Sunidhi Chauhan
Upl4T8IR,Tujhko (From “Cocktail 2”),"Arijit Singh, Sunidhi Chauhan, Amitabh Bhattacharya, Pritam",Leher (From “Cocktail 2”),hindi,2026.0,2020s,73.828,0.139322,932.498,Sunidhi Chauhan
qBwub3Eb,Tujhko (From “Cocktail 2”),"Arijit Singh, Sunidhi Chauhan, Amitabh Bhattacharya, Pritam",Tujhko (From “Cocktail 2”),hindi,2026.0,2020s,76.0,0.139463,929.512,Sunidhi Chauhan
SbQ3l7DW,Tujhko (From “Cocktail 2”),"Arijit Singh, Sunidhi Chauhan, Amitabh Bhattacharya, Pritam",Cocktail 2,hindi,2026.0,2020s,76.0,0.13935,931.925,Sunidhi Chauhan
9z1YKoCm,Tujhko (From “Cocktail 2”),"Arijit Singh, Sunidhi Chauhan, Amitabh Bhattacharya, Pritam",VALLAH (From “Cocktail 2”),hindi,2026.0,2020s,73.828,0.139391,931.617,Sunidhi Chauhan
8kQ4fImF,"Sajde (From ""Khatta Meetha"")","KK, Sunidhi Chauhan, Pritam, Irshad Kamil",Romantic Hits Of K.K.,hindi,2025.0,2020s,89.103,0.070111,1581.508,Sunidhi Chauhan
L1XUkf-V,Sajde,"Pritam, KK, Sunidhi Chauhan",Khatta Meetha,hindi,2010.0,2010s,89.103,0.070111,1581.508,Sunidhi Chauhan
BQfygJpk,Lae Dooba,"Manoj Muntashir, Rochak Kohli, Sunidhi Chauhan",World Music Day 2026,hindi,2026.0,2020s,172.266,0.179032,2233.453,Sunidhi Chauhan
-vNMHZD1,Pehli Pehli Baar Mohabbat Ki Hai,"Kumar Sanu, Alka Yagnik",Sirf Tum,hindi,1999.0,1990s,107.666,0.127966,1805.14,Alka Yagnik
t4uQLt6v,"Pehli Pehli Baar Mohabbat Ki Hai (From ""Sirf Tum"")","Sameer, Super Cassettes Industries Private Limited, Kumar Sanu, Alka Yagnik",Bollywood Classic Hits,hindi,2026.0,2020s,107.666,0.079269,1823.532,Alka Yagnik
TC5PSqsJ,Chura Ke Dil Mera,"Kumar Sanu, Alka Yagnik",Main Khiladi Tu Anari (Original Motion Picture Soundtrack),hindi,1994.0,1990s,129.199,0.104932,3048.581,Alka Yagnik
zx_40h2p,Chura Ke Dil Mera,"Kumar Sanu, Alka Yagnik",East Aur West Anu Is the Best,hindi,2021.0,2020s,129.199,0.071713,3158.999,Alka Yagnik
EwaVRyUv,Chura Ke Dil Mera,"Kumar Sanu, Alka Yagnik",Main Khiladi Tu Anari (With Jhankar Beats),hindi,2024.0,2020s,129.199,0.071688,3159.387,Alka Yagnik
sTsu7vAH,"Chura Ke Dil Mera (From ""Main Khiladi Tu Anari"")","Kumar Sanu, Alka Yagnik",Bollywood Queens,hindi,2016.0,2010s,129.199,0.071713,3158.999,Alka Yagnik
0-AGGoN-,Kitni Bechain Hoke,Nadeem-Shravan,Kasoor,hindi,2001.0,2000s,143.555,0.092278,2525.045,Alka Yagnik
zjLBztGK,Rab Kare,"Udit Narayan, Alka Yagnik",Mujhse Shaadi Karogi,hindi,2004.0,2000s,172.266,0.216089,2022.139,Alka Yagnik
N9MGwsXy,Dil Mera Tod Diya,Nadeem-Shravan,Kasoor,hindi,2001.0,2000s,107.666,0.10464,2660.818,Alka Yagnik
wGhGhyVh,"Dil Ne Yeh Kaha Hain Dil Se (From ""Dhadkan"")","Udit Narayan, Alka Yagnik, Kumar Sanu",Director Special Dharmesh Darshan Hits,hindi,2021.0,2020s,107.666,0.077424,2196.768,Kumar Sanu
EfsTgKZD,Dil Ne Yeh Kaha Hain Dil Se,"Udit Narayan, Alka Yagnik, Kumar Sanu",Dhadkan,hindi,2000.0,2000s,107.666,0.070968,2249.502,Kumar Sanu
1pxpgV6l,"Dil Ne Yeh Kaha Hain Dil Se (From ""Dhadkan"")","Udit Narayan, Alka Yagnik, Kumar Sanu",Sunil Shetty - 12 Superhit Songs,hindi,2017.0,2010s,107.666,0.071047,2207.288,Kumar Sanu
pjW5k4WI,Tu Pyar Hai Kisi Aur Ka,"Anuradha Paudwal, Kumar Sanu",Dil Hai Ke Manta Nahin,hindi,1991.0,1990s,95.703,0.182636,2676.785,Kumar Sanu
tSEDuO-H,"Hum Pyaar Karne Wale (From ""Dhurandhar The Revenge"")","Shashwat Sachdev, Qveen Herby, Anuradha Paudwal, Udit Narayan, Anand-Milind, Sameer Anjaan","Hum Pyaar Karne Wale (From ""Dhurandhar The Revenge"")",hindi,2026.0,2020s,123.047,0.24849,2117.925,Udit Narayan
rUdRvpaE,Hum Pyaar Karne Wale,"Qveen Herby, Sameer Anjaan, Shashwat Sachdev, Anand-Milind, Anuradha Paudwal, Udit Narayan",Dhurandhar The Revenge,hindi,2026.0,2020s,123.047,0.24849,2117.925,Udit Narayan
aq84a-Ge,Main Yahaan Hoon,"Madan Mohan, Udit Narayan, Javed Akhtar",Veer-Zaara,hindi,2004.0,2000s,172.266,0.119725,1423.027,Udit Narayan
4LPjmU5w,"Main Yahaan Hoon (From ""Veer - Zaara"")","Madan Mohan, Udit Narayan, Javed Akhtar","Pyaar, Forever and Ever",hindi,2026.0,2020s,184.57,0.119658,1376.644,Udit Narayan
cR6wf-1j,Jaan Nisaar (Arijit),Arijit Singh,Morning Bliss,hindi,2026.0,2020s,92.285,0.188684,1028.973,Amit Trivedi
nema-H_E,Jaan Nisaar (Arijit),Arijit Singh,Arijit Singh 1 AM Mix,hindi,2026.0,2020s,92.285,0.188684,1028.973,Amit Trivedi
GMOnq2Nn,Jaan Nisaar (Arijit),Arijit Singh,Late Night Bollywood Sad Songs,hindi,2026.0,2020s,92.285,0.188684,1028.973,Amit Trivedi
hrTlP-H2,Jaan ‘Nisaar (Arijit),Arijit Singh,Kedarnath,hindi,2019.0,2010s,92.285,0.188889,1025.119,Amit Trivedi
5PZZxriv,Jaan Nisaar (Arijit),Arijit Singh,Arijit Singh Bollywood Hits,hindi,2026.0,2020s,92.285,0.188684,1028.973,Amit Trivedi
g5Km5DRg,Jaan Nisaar (Arijit),Arijit Singh,Amit Trivedi Hits,hindi,2026.0,2020s,92.285,0.188684,1028.973,Amit Trivedi
jdEhkRVr,Jaan Nisaar (Arijit),Arijit Singh,Soft Romance Bollywood,hindi,2026.0,2020s,92.285,0.188684,1028.973,Amit Trivedi
EN0dT4B0,Namo Namo,Amit Trivedi,Best Of Shravan,hindi,2026.0,2020s,117.454,0.089467,2176.948,Amit Trivedi
BE2nq7JH,Namo Namo,Amit Trivedi,Kedarnath,hindi,2019.0,2010s,117.454,0.089603,2174.164,Amit Trivedi
xkKvYGed,Namo Namo,Amit Trivedi,Divine Melodies,hindi,2026.0,2020s,117.454,0.089467,2176.948,Amit Trivedi
LYBC0vEH,"Tera Mera Rishta -  New Version (From ""Awarapan 2"")","Mithoon, Pritam, Sayeed Quadri, Saaj Bhatt, Subodhh Sharma","Tera Mera Rishta - New Version (From ""Awarapan 2"")",hindi,2026.0,2020s,161.499,0.101515,1007.377,Pritam
wfTj8NYC,Tera Mera Rishta - New Version,"Mithoon, Pritam, Sayeed Quadri, Saaj Bhatt, Subodhh Sharma",Awarapan 2,hindi,2026.0,2020s,129.199,0.101529,1009.168,Pritam
O-yuENv8,Toh Phir Aao - New Version,"Mithoon, Pritam, Sayeed Quadri, Subodhh Sharma",Awarapan 2,hindi,2026.0,2020s,215.332,0.082225,1042.561,Pritam
LesJn5NA,"Chaiyya Chaiyya (From ""Dil Se"")","Sukhwinder Singh, Sapna Awasthi",A.R. Rahman Forever,hindi,2016.0,2010s,107.666,0.026696,2174.261,A.R. Rahman Hindi
P4sKu6aL,Tere Bina,"A.R. Rahman, Murtuza Khan, Chinmayi, Qadir Khan",A Decade of Love,hindi,2010.0,2010s,143.555,0.127353,1900.381,A.R. Rahman Hindi
tPy3xtdE,Dil Se Re,"A R Rahman, Anuradha, Anupama",A.R. Rahman Forever,hindi,2016.0,2010s,107.666,0.116604,1633.515,A.R. Rahman Hindi
SH2T3VSx,"Chaiyya Chaiyya (From ""Dil Se"")","Sukhwinder Singh, Sapna Awasthi",A.R. Rahman the Music Maestro of Bollywood,hindi,2016.0,2010s,107.666,0.026696,2174.261,A.R. Rahman Hindi
VZP4SVVb,"Dil Se Re (From ""Dil Se"")","A R Rahman, Anuradha, Anupama",A.R. Rahman the Music Maestro of Bollywood,hindi,2016.0,2010s,107.666,0.116604,1633.515,A.R. Rahman Hindi
fTyxjlWj,Tere Bina,"A.R. Rahman, Murtuza Khan, Chinmayi, Qadir Khan",Perfect 10: AR Rahman - The Spirit of Music,hindi,2012.0,2010s,143.555,0.117736,1994.896,A.R. Rahman Hindi
M0uZDd0S,O Paalanhaare,"A.R. Rahman, Lata Mangeshkar, Udit Narayan",Perfect 10: AR Rahman - The Spirit of Music,hindi,2012.0,2010s,161.499,0.032369,1490.075,A.R. Rahman Hindi
